Order ID,Order Date,Product,Category,Region,Customer Segment,Sales Channel,Quantity,Unit Price,Discount,Sales,Cost,Profit
ORD-10022,2025-04-18,Laptop,Technology,North-East,Small Business,B2B Sales,1,973.95,0.05,925.25,608.24,317.01
ORD-10023,2024-04-05,USB-C Hub,Accessories,East,Consumer,Retail Store,7,68.27,0,501.78,205.83,295.95
ORD-10024,2025-02-03,Mouse,Technology,North,Consumer,B2B Sales,4,40.62,0.1,134.53,71.34,63.19
ORD-10025,2024-10-30,Laptop,Technology,West,Corporate,Online,1,916.76,0.05,958.01,647.5,310.51
ORD-10026,2025-06-27,Headset,Technology,Central,Small Business,Online,1,99.39,0.05,111.42,47.07,64.35
ORD-10027,2025-08-06,Headset,Technology,Central,Corporate,Online,3,96.17,0.15,289.38,134.23,155.15
ORD-10028,2024-11-17,Mouse,Technology,East,Corporate,Online,1,41.41,0,54.35,18.22,36.13
ORD-10029,2025-07-30,Laptop Stand,Accessories,West,Consumer,Online,6,47.16,0.15,291.02,120.7,170.32
ORD-10030,2024-06-10,Stapler,Office Supplies,North,Corporate,B2B Sales,1,18.48,0.05,16.15,8.36,7.79
ORD-10031,2024-04-16,USB-C Hub,Accessories,North,Consumer,Online,3,64.17,0.1,159.4,92.72,66.68
ORD-10032,2024-07-27,Bookshelf,Furniture,West,Consumer,B2B Sales,2,174.46,0.05,401.08,189.88,211.2
ORD-10033,2024-01-04,Pen Set,Office Supplies,North,Consumer,Online,7,12.19,0,78.5,29.29,49.21
ORD-10034,2025-12-08,Backpack,Accessories,Central,Small Business,Retail Store,3,85.25,0,377.23,114.63,262.6
ORD-10035,2024-02-10,USB-C Hub,Accessories,East,Corporate,Online,9,68.73,0.1,584.55,282.1,302.45
ORD-10036,2024-08-30,USB-C Hub,Accessories,North-East,Consumer,Retail Store,6,67.49,0.05,384.69,184.84,199.85
ORD-10037,2024-09-11,Webcam,Technology,Central,Consumer,Online,1,107.8,0.15,108.12,58.26,49.86
ORD-10038,2024-08-21,Webcam,Technology,East,Consumer,Online,1,114.11,0.05,113.82,58.91,54.91
ORD-10039,2025-11-26,Backpack,Accessories,North,Small Business,Online,6,83.12,0.2,458.82,227.68,231.14
ORD-10040,2024-04-21,Printer Paper,Office Supplies,North,Consumer,B2B Sales,2,14.98,0.05,26.19,13.97,12.22
ORD-10041,2025-12-26,Stapler,Office Supplies,West,Corporate,B2B Sales,5,17.94,0,123.34,41.06,82.28
ORD-10042,2024-12-04,Office Chair,Furniture,North,Consumer,Retail Store,1,226.54,0.05,247.49,124.18,123.31
ORD-10043,2025-11-11,USB-C Hub,Accessories,West,Corporate,Online,1,64.38,0,88.52,31.05,57.47
ORD-10044,2025-09-13,Desk Lamp,Furniture,North-East,Consumer,Online,1,57.76,0.1,51.98,23.81,28.17
ORD-10045,2024-03-27,Webcam,Technology,West,Consumer,Retail Store,2,113.0,0,248.6,115.3,133.3
ORD-10046,2024-01-26,Mouse,Technology,West,Small Business,Online,1,40.92,0,45.01,18.52,26.49
ORD-10047,2025-05-21,Pen Set,Office Supplies,Central,Small Business,B2B Sales,2,12.45,0,29.38,8.29,21.09
ORD-10048,2025-12-13,Notebook,Office Supplies,West,Consumer,B2B Sales,8,7.79,0.05,81.41,24.41,57.0
ORD-10049,2025-07-26,Desk Organizer,Office Supplies,West,Small Business,B2B Sales,8,26.08,0.05,239.83,91.77,148.06
ORD-10050,2025-05-01,Pen Set,Office Supplies,North,Corporate,Retail Store,5,11.85,0,54.51,20.0,34.51
ORD-10051,2024-10-05,Stapler,Office Supplies,Central,Consumer,Online,3,18.55,0,65.67,24.2,41.47
ORD-10052,2025-07-09,Notebook,Office Supplies,East,Small Business,Online,1,8.37,0.1,8.7,3.02,5.68
ORD-10053,2024-01-07,Phone Charger,Accessories,North-East,Small Business,B2B Sales,8,30.41,0.1,218.95,99.46,119.49
ORD-10054,2024-08-13,Printer Paper,Office Supplies,North-East,Consumer,Online,7,15.49,0.15,92.17,51.17,41.0
ORD-10055,2025-09-29,Desk Organizer,Office Supplies,West,Corporate,Online,9,24.34,0.05,228.92,97.37,131.55
ORD-10056,2025-01-23,Desk Organizer,Office Supplies,North,Consumer,B2B Sales,5,25.88,0.15,101.19,54.87,46.32
ORD-10057,2024-03-24,File Folder Pack,Office Supplies,West,Consumer,B2B Sales,4,20.5,0.1,81.18,36.92,44.26
ORD-10058,2024-02-01,USB-C Hub,Accessories,Central,Corporate,Online,11,66.75,0.05,823.09,328.43,494.66
ORD-10059,2025-12-17,Keyboard,Technology,East,Corporate,B2B Sales,3,77.83,0,306.46,114.2,192.26
ORD-10060,2025-08-15,Keyboard,Technology,West,Corporate,B2B Sales,1,77.36,0,85.1,39.08,46.02
ORD-10061,2025-10-04,Webcam,Technology,North,Small Business,Retail Store,1,116.42,0.1,96.4,58.25,38.15
ORD-10062,2025-03-14,Office Chair,Furniture,West,Corporate,Online,1,221.98,0.05,231.97,125.67,106.3
ORD-10063,2025-04-15,Desk Lamp,Furniture,East,Corporate,B2B Sales,1,57.25,0.05,57.11,24.33,32.78
ORD-10064,2025-03-22,Backpack,Accessories,North,Consumer,Online,2,83.97,0.05,146.78,78.47,68.31
ORD-10065,2025-08-06,Desk Lamp,Furniture,North,Consumer,B2B Sales,1,53.97,0.1,44.69,24.09,20.6
ORD-10066,2025-09-02,Bookshelf,Furniture,West,Consumer,B2B Sales,1,185.76,0.05,194.12,98.14,95.98
ORD-10067,2025-12-08,File Folder Pack,Office Supplies,North-East,Consumer,Online,5,19.64,0.1,110.48,45.06,65.42
ORD-10068,2025-08-18,Stapler,Office Supplies,West,Consumer,B2B Sales,6,17.91,0.05,112.3,48.07,64.23
ORD-10069,2024-08-24,Monitor,Technology,North,Consumer,Retail Store,2,273.98,0,504.12,344.72,159.4
ORD-10070,2025-08-26,Backpack,Accessories,West,Consumer,Online,4,84.12,0.05,351.62,152.18,199.44
ORD-10071,2025-12-26,Printer Paper,Office Supplies,Central,Small Business,Retail Store,3,15.36,0.1,61.17,20.73,40.44
ORD-10072,2024-01-13,Desk Organizer,Office Supplies,North-East,Consumer,Online,1,24.63,0.15,20.94,10.87,10.07
ORD-10073,2024-03-07,Notebook,Office Supplies,West,Corporate,Online,4,8.33,0.2,29.32,11.83,17.49
ORD-10074,2024-09-11,Mouse,Technology,West,Corporate,Retail Store,3,39.92,0.15,111.98,54.04,57.94
ORD-10075,2025-08-25,Phone Charger,Accessories,West,Corporate,Retail Store,3,31.64,0,104.41,35.81,68.6
ORD-10076,2025-11-07,Monitor,Technology,East,Corporate,Online,1,288.1,0.05,359.22,166.99,192.23
ORD-10077,2024-10-22,Desk Lamp,Furniture,Central,Corporate,B2B Sales,3,56.24,0.1,179.18,75.27,103.91
ORD-10078,2025-03-11,Monitor,Technology,East,Small Business,B2B Sales,1,273.45,0,287.12,175.51,111.61
ORD-10079,2025-08-05,Power Bank,Accessories,Central,Consumer,Online,7,57.98,0.05,454.97,184.65,270.32
ORD-10080,2024-03-23,Desk Organizer,Office Supplies,North,Corporate,Online,5,26.4,0.15,103.22,56.11,47.11
ORD-10081,2024-01-22,Phone Charger,Accessories,West,Consumer,Retail Store,8,30.36,0.05,253.81,95.95,157.86
ORD-10082,2025-08-22,Desk Organizer,Office Supplies,Central,Consumer,Online,6,25.68,0.15,154.54,66.2,88.34
ORD-10083,2025-12-11,File Folder Pack,Office Supplies,North-East,Small Business,Retail Store,9,19.38,0,218.02,80.04,137.98
ORD-10084,2025-02-17,Laptop Stand,Accessories,West,Consumer,Online,6,46.0,0.05,288.42,121.31,167.11
ORD-10085,2024-02-22,Headset,Technology,East,Small Business,Online,2,92.35,0.2,155.15,92.04,63.11
ORD-10086,2024-09-02,Bookshelf,Furniture,West,Consumer,Online,1,187.95,0,206.75,99.4,107.35
ORD-10087,2025-10-25,Power Bank,Accessories,North,Consumer,Online,8,58.19,0,428.28,211.87,216.41
ORD-10088,2025-01-27,Headset,Technology,West,Corporate,Online,1,98.54,0.15,92.13,45.17,46.96
ORD-10089,2025-06-03,Laptop,Technology,North,Corporate,B2B Sales,3,974.69,0.15,2286.62,1880.94,405.68
ORD-10090,2025-05-10,Stapler,Office Supplies,West,Consumer,B2B Sales,4,19.05,0,83.82,32.22,51.6
ORD-10091,2025-02-24,Webcam,Technology,North-East,Corporate,Retail Store,1,112.9,0.15,95.97,60.82,35.15
ORD-10092,2025-05-22,USB-C Hub,Accessories,West,Small Business,Online,2,68.08,0.05,142.29,61.01,81.28
ORD-10093,2025-04-12,Monitor,Technology,North-East,Small Business,B2B Sales,1,290.68,0,290.68,174.02,116.66
ORD-10094,2025-02-11,Bookshelf,Furniture,West,Consumer,Online,2,186.47,0.15,348.7,186.68,162.02
ORD-10095,2024-03-11,Webcam,Technology,North,Small Business,Retail Store,1,106.68,0.1,88.33,60.38,27.95
ORD-10096,2025-03-30,Keyboard,Technology,Central,Consumer,Retail Store,1,74.81,0,88.28,38.65,49.63
ORD-10097,2025-08-02,Standing Desk,Furniture,East,Consumer,Retail Store,1,534.72,0.05,533.38,316.45,216.93
ORD-10098,2024-08-25,Printer Paper,Office Supplies,North-East,Consumer,Online,8,15.75,0.1,113.4,55.5,57.9
ORD-10099,2025-03-28,Backpack,Accessories,North,Corporate,Online,7,85.48,0,550.49,279.29,271.2
ORD-10100,2025-05-09,Mouse,Technology,West,Consumer,Online,2,38.49,0.15,71.98,36.28,35.7
ORD-10101,2024-01-09,File Folder Pack,Office Supplies,Central,Small Business,Retail Store,6,20.75,0,146.91,55.95,90.96
ORD-10102,2024-08-12,Drawer Cabinet,Furniture,North,Corporate,Retail Store,1,167.01,0.1,138.28,91.8,46.48
ORD-10103,2025-10-23,Mouse,Technology,Central,Corporate,Retail Store,1,39.58,0.1,42.03,17.86,24.17
ORD-10104,2024-05-15,Bookshelf,Furniture,West,Consumer,Online,1,189.25,0.2,166.54,99.53,67.01
ORD-10105,2024-10-29,Bookshelf,Furniture,Central,Consumer,Online,2,176.86,0.1,375.65,195.17,180.48
ORD-10106,2025-02-10,Backpack,Accessories,North,Consumer,Online,5,86.16,0.05,376.52,195.15,181.37
ORD-10107,2025-11-19,Mouse,Technology,North,Consumer,Online,1,41.94,0.05,45.82,18.79,27.03
ORD-10108,2024-08-14,Desk Lamp,Furniture,North,Corporate,Online,1,53.0,0.2,39.01,23.72,15.29
ORD-10109,2024-08-28,USB-C Hub,Accessories,North-East,Consumer,Retail Store,7,66.22,0.1,417.19,218.82,198.37
ORD-10110,2025-11-01,Mouse,Technology,West,Consumer,B2B Sales,1,39.88,0.05,52.09,18.84,33.25
ORD-10111,2025-01-06,Webcam,Technology,North,Corporate,B2B Sales,1,109.98,0,101.18,57.34,43.84
ORD-10112,2025-04-10,Monitor,Technology,West,Small Business,Online,1,296.49,0.1,293.53,169.04,124.49
ORD-10113,2025-07-21,Monitor,Technology,East,Consumer,Online,3,268.88,0.15,791.92,504.97,286.95
ORD-10114,2024-05-13,Pen Set,Office Supplies,Central,Corporate,Online,1,11.95,0.1,12.69,4.08,8.61
ORD-10115,2024-01-17,Laptop,Technology,East,Corporate,Retail Store,3,957.24,0.1,2713.78,1889.62,824.16
ORD-10116,2024-04-21,Pen Set,Office Supplies,West,Consumer,Retail Store,5,12.07,0.2,53.11,19.69,33.42
ORD-10117,2025-05-05,Power Bank,Accessories,Central,Consumer,B2B Sales,2,57.75,0,136.29,51.5,84.79
ORD-10118,2024-05-09,Webcam,Technology,West,Corporate,Online,5,111.44,0.05,582.27,296.49,285.78
ORD-10119,2024-04-11,Office Chair,Furniture,West,Corporate,Online,1,216.23,0,237.85,126.47,111.38
ORD-10120,2025-03-01,Bookshelf,Furniture,North-East,Consumer,Online,3,185.16,0.05,527.71,281.12,246.59
ORD-10121,2024-03-28,Laptop,Technology,North,Small Business,Retail Store,2,965.35,0,1776.24,1225.81,550.43
ORD-10122,2024-12-28,Power Bank,Accessories,Central,Small Business,Retail Store,7,53.37,0.05,523.49,180.33,343.16
ORD-10123,2025-05-08,Laptop,Technology,North,Small Business,Online,2,966.54,0.15,1511.67,1288.56,223.11
ORD-10124,2025-09-28,Drawer Cabinet,Furniture,Central,Corporate,Retail Store,3,154.06,0,545.37,272.81,272.56
ORD-10125,2024-12-13,Pen Set,Office Supplies,East,Corporate,Online,4,12.41,0.2,52.12,15.78,36.34
ORD-10126,2025-06-27,Mouse,Technology,North-East,Consumer,Online,2,41.51,0.05,78.87,35.49,43.38
ORD-10127,2024-02-23,Headset,Technology,Central,Corporate,Online,3,95.81,0.05,322.21,134.88,187.33
ORD-10128,2025-06-08,Mouse,Technology,Central,Consumer,Retail Store,1,41.07,0,48.46,18.14,30.32
ORD-10129,2025-09-05,Monitor,Technology,North,Small Business,Retail Store,2,276.9,0,509.5,345.04,164.46
ORD-10130,2025-03-16,Mouse,Technology,West,Corporate,Retail Store,4,41.62,0,183.13,74.9,108.23
ORD-10131,2024-02-13,Desk Organizer,Office Supplies,Central,Small Business,Retail Store,8,25.77,0.05,231.11,86.95,144.16
ORD-10132,2024-01-22,USB-C Hub,Accessories,West,Consumer,Retail Store,6,62.97,0.15,353.26,179.47,173.79
ORD-10133,2025-08-26,Notebook,Office Supplies,North-East,Small Business,Retail Store,5,7.95,0,39.75,15.24,24.51
ORD-10134,2024-04-26,Pen Set,Office Supplies,North,Consumer,B2B Sales,3,11.8,0,32.57,11.93,20.64
ORD-10135,2025-09-08,Webcam,Technology,Central,Consumer,Retail Store,1,113.9,0.1,120.96,58.66,62.3
ORD-10136,2025-08-01,Drawer Cabinet,Furniture,North,Small Business,Retail Store,1,154.69,0.05,135.2,88.11,47.09
ORD-10137,2024-10-08,Printer Paper,Office Supplies,West,Consumer,Online,1,14.49,0.15,13.55,6.9,6.65
ORD-10138,2024-04-02,Drawer Cabinet,Furniture,North-East,Consumer,Retail Store,2,167.93,0.05,319.07,182.46,136.61
ORD-10139,2025-10-29,Headset,Technology,North-East,Consumer,B2B Sales,1,98.9,0.15,84.06,47.19,36.87
ORD-10140,2024-03-27,Pen Set,Office Supplies,Central,Consumer,Online,8,12.15,0.1,103.23,32.18,71.05
ORD-10141,2024-10-16,Printer Paper,Office Supplies,West,Consumer,Retail Store,6,14.5,0,95.7,43.15,52.55
ORD-10142,2024-10-17,Webcam,Technology,West,Small Business,Online,2,107.16,0.05,223.96,121.54,102.42
ORD-10143,2025-12-16,Standing Desk,Furniture,West,Corporate,Online,1,532.66,0,732.41,306.57,425.84
ORD-10144,2025-12-20,Backpack,Accessories,Central,Corporate,Online,8,81.75,0,964.65,318.16,646.49
ORD-10145,2024-12-15,Power Bank,Accessories,East,Consumer,Online,2,54.43,0.1,128.59,52.81,75.78
ORD-10146,2025-07-06,Backpack,Accessories,Central,Corporate,B2B Sales,4,86.68,0,450.04,150.88,299.16
ORD-10147,2025-12-10,Standing Desk,Furniture,North-East,Consumer,Online,2,549.62,0.1,1236.64,640.25,596.39
ORD-10148,2025-04-04,Monitor,Technology,North,Small Business,Retail Store,3,274.23,0.1,681.19,520.16,161.03
ORD-10149,2025-03-27,Printer Paper,Office Supplies,North-East,Consumer,Online,3,15.63,0.15,39.86,20.78,19.08
ORD-10150,2024-09-13,Mouse,Technology,North,Corporate,Online,4,41.8,0,153.82,74.41,79.41
ORD-10151,2024-10-06,Stapler,Office Supplies,East,Small Business,Online,5,18.75,0.15,83.67,41.81,41.86
ORD-10152,2025-02-28,Headset,Technology,North,Consumer,B2B Sales,1,91.47,0.15,71.53,46.74,24.79
ORD-10153,2025-10-27,Pen Set,Office Supplies,East,Consumer,B2B Sales,8,12.36,0,103.82,32.94,70.88
ORD-10154,2025-04-04,Office Chair,Furniture,Central,Consumer,B2B Sales,1,227.2,0.05,254.69,123.47,131.22
ORD-10155,2024-10-22,Laptop,Technology,Central,Consumer,Retail Store,2,917.97,0.15,1841.45,1258.59,582.86
ORD-10156,2025-07-02,Headset,Technology,West,Consumer,Online,1,97.04,0,117.42,45.41,72.01
ORD-10157,2025-11-11,Drawer Cabinet,Furniture,North,Consumer,Retail Store,1,169.41,0.05,185.08,88.65,96.43
ORD-10158,2025-04-26,Mouse,Technology,North,Consumer,Online,2,39.78,0.1,65.88,36.86,29.02
ORD-10159,2025-08-18,Bookshelf,Furniture,East,Consumer,Retail Store,2,175.95,0.1,332.55,192.38,140.17
ORD-10160,2025-12-13,Pen Set,Office Supplies,East,Consumer,Retail Store,8,11.56,0,121.38,33.13,88.25
ORD-10161,2024-02-12,Keyboard,Technology,West,Consumer,Retail Store,1,72.27,0.1,71.55,38.0,33.55
ORD-10162,2024-02-18,Phone Charger,Accessories,North,Consumer,Online,7,31.03,0.15,169.86,84.59,85.27
ORD-10163,2024-07-10,Desk Organizer,Office Supplies,North,Small Business,Retail Store,2,25.82,0,52.26,22.49,29.77
ORD-10164,2024-07-03,Printer Paper,Office Supplies,Central,Consumer,Retail Store,5,15.07,0.1,88.02,34.71,53.31
ORD-10165,2025-03-30,Notebook,Office Supplies,North,Corporate,Online,1,7.74,0.1,6.41,3.02,3.39
ORD-10166,2025-11-26,Laptop,Technology,East,Small Business,Retail Store,1,923.99,0,1212.74,635.6,577.14
ORD-10167,2025-01-05,Stapler,Office Supplies,Central,Corporate,Retail Store,8,17.95,0.1,152.5,65.29,87.21
ORD-10168,2025-06-26,Printer Paper,Office Supplies,North,Consumer,Online,3,15.15,0.05,39.72,21.41,18.31
ORD-10169,2024-09-25,Desk Lamp,Furniture,East,Small Business,Online,2,55.5,0,116.55,49.91,66.64
ORD-10170,2025-04-07,Webcam,Technology,North-East,Small Business,Retail Store,5,116.45,0.1,524.02,298.6,225.42
ORD-10171,2025-07-17,Printer Paper,Office Supplies,East,Corporate,B2B Sales,4,15.59,0.05,68.42,27.68,40.74
ORD-10172,2024-07-24,Standing Desk,Furniture,North-East,Consumer,Retail Store,1,540.99,0.05,565.33,317.08,248.25
ORD-10173,2024-03-29,Mouse,Technology,North-East,Corporate,Retail Store,3,38.7,0.2,92.88,55.35,37.53
ORD-10174,2025-04-05,Stapler,Office Supplies,North,Consumer,B2B Sales,3,18.66,0,51.5,24.36,27.14
ORD-10175,2024-02-26,Backpack,Accessories,East,Consumer,Online,4,84.54,0.2,284.05,158.48,125.57
ORD-10176,2024-03-21,Webcam,Technology,West,Consumer,Retail Store,2,106.63,0.1,211.13,118.49,92.64
ORD-10177,2025-08-17,Webcam,Technology,West,Corporate,Retail Store,4,111.8,0.15,418.13,227.82,190.31
ORD-10178,2024-02-16,Backpack,Accessories,North,Corporate,Retail Store,9,86.85,0,719.12,356.44,362.68
ORD-10179,2025-07-12,Keyboard,Technology,North-East,Consumer,Retail Store,1,75.4,0.1,74.65,37.66,36.99
ORD-10180,2025-03-01,Pen Set,Office Supplies,North,Corporate,Online,8,12.4,0.15,77.57,33.54,44.03
ORD-10181,2024-05-13,Drawer Cabinet,Furniture,West,Consumer,Online,1,160.79,0,176.87,86.55,90.32
ORD-10182,2025-01-28,Power Bank,Accessories,East,Small Business,B2B Sales,7,57.94,0.1,383.27,180.78,202.49
ORD-10183,2024-06-12,Stapler,Office Supplies,North-East,Consumer,Online,1,17.44,0.05,16.57,8.1,8.47
ORD-10184,2024-09-03,Keyboard,Technology,Central,Consumer,Retail Store,3,76.91,0.05,258.65,116.0,142.65
ORD-10185,2024-04-20,Printer Paper,Office Supplies,North,Corporate,Online,9,14.48,0.05,113.9,63.34,50.56
ORD-10186,2024-10-22,Headset,Technology,North-East,Corporate,Online,5,97.66,0,488.3,235.86,252.44
ORD-10187,2025-02-07,Printer Paper,Office Supplies,West,Small Business,Retail Store,5,15.3,0.05,79.94,34.4,45.54
ORD-10188,2024-02-09,Keyboard,Technology,North-East,Consumer,Online,3,73.05,0.15,186.28,114.26,72.02
ORD-10189,2025-02-06,Phone Charger,Accessories,West,Consumer,B2B Sales,8,30.93,0,272.18,99.56,172.62
ORD-10190,2025-01-12,Notebook,Office Supplies,North-East,Corporate,Retail Store,1,8.16,0,8.16,3.08,5.08
ORD-10191,2025-08-15,File Folder Pack,Office Supplies,Central,Corporate,Online,9,19.5,0.1,186.38,79.56,106.82
ORD-10192,2025-12-18,Laptop,Technology,North-East,Consumer,Online,2,950.99,0.1,2139.73,1295.1,844.63
ORD-10193,2024-03-04,Drawer Cabinet,Furniture,East,Corporate,B2B Sales,1,159.63,0.2,134.09,89.07,45.02
ORD-10194,2025-06-29,Printer Paper,Office Supplies,North,Corporate,Online,5,14.82,0,68.17,36.61,31.56
ORD-10195,2024-10-31,Standing Desk,Furniture,North-East,Consumer,Online,3,540.56,0,1621.68,919.33,702.35
ORD-10196,2025-11-23,Desk Organizer,Office Supplies,North,Small Business,Retail Store,6,24.11,0.2,133.09,65.05,68.04
ORD-10197,2025-03-28,Desk Lamp,Furniture,East,Consumer,Retail Store,3,56.63,0,178.38,73.66,104.72
ORD-10198,2025-08-23,Laptop,Technology,West,Consumer,Online,1,943.38,0.05,985.83,637.16,348.67
ORD-10199,2024-05-20,Headset,Technology,East,Consumer,B2B Sales,3,95.74,0,301.58,141.41,160.17
ORD-10200,2024-11-24,Laptop,Technology,Central,Corporate,Online,3,992.78,0,4393.05,1942.78,2450.27
ORD-10201,2025-03-03,USB-C Hub,Accessories,Central,Small Business,Online,9,63.61,0.1,607.98,281.09,326.89
ORD-10202,2024-10-23,Laptop Stand,Accessories,North,Corporate,Online,8,44.48,0.2,261.9,162.88,99.02
ORD-10203,2025-05-20,USB-C Hub,Accessories,West,Consumer,Online,2,64.55,0.1,127.81,61.52,66.29
ORD-10204,2024-07-09,Keyboard,Technology,North,Corporate,Retail Store,1,78.42,0.15,67.46,39.44,28.02
ORD-10205,2025-06-11,Desk Organizer,Office Supplies,Central,Consumer,Online,6,26.34,0,186.49,66.45,120.04
ORD-10206,2025-04-02,Bookshelf,Furniture,North,Corporate,Retail Store,1,179.27,0,164.93,97.54,67.39
ORD-10207,2025-04-21,Mouse,Technology,West,Small Business,B2B Sales,2,41.16,0.1,81.5,37.65,43.85
ORD-10208,2025-01-11,Standing Desk,Furniture,East,Consumer,Online,3,518.63,0.1,1470.32,970.82,499.5
ORD-10209,2025-07-04,Standing Desk,Furniture,East,Corporate,Retail Store,3,526.53,0.05,1733.21,934.95,798.26
ORD-10210,2025-07-31,Headset,Technology,West,Consumer,Retail Store,1,99.32,0.05,114.17,46.24,67.93
ORD-10211,2025-08-20,Stapler,Office Supplies,North-East,Small Business,Online,8,18.1,0,144.8,64.79,80.01
ORD-10212,2024-11-11,Desk Lamp,Furniture,North,Small Business,Retail Store,1,53.05,0.05,57.96,23.63,34.33
ORD-10213,2024-03-02,Laptop Stand,Accessories,North-East,Consumer,Online,3,46.65,0.2,111.96,61.51,50.45
ORD-10214,2025-03-06,Desk Organizer,Office Supplies,North-East,Small Business,B2B Sales,8,24.2,0.2,154.88,91.63,63.25
ORD-10215,2024-05-16,Bookshelf,Furniture,Central,Consumer,Retail Store,1,185.9,0,219.36,93.12,126.24
ORD-10216,2024-01-24,Power Bank,Accessories,West,Consumer,Online,4,54.16,0.05,226.39,103.93,122.46
ORD-10217,2024-04-25,Webcam,Technology,North-East,Corporate,B2B Sales,4,108.25,0,433.0,237.01,195.99
ORD-10218,2025-04-02,File Folder Pack,Office Supplies,Central,Consumer,Online,8,19.67,0,185.68,74.91,110.77
ORD-10219,2024-02-27,Keyboard,Technology,East,Small Business,Retail Store,1,76.48,0.1,72.27,38.09,34.18
ORD-10220,2024-11-05,Backpack,Accessories,East,Consumer,Online,3,86.92,0.05,325.14,115.68,209.46
ORD-10221,2024-12-18,Power Bank,Accessories,West,Consumer,Online,3,54.45,0,224.61,79.38,145.23
ORD-10222,2024-09-03,Phone Charger,Accessories,East,Small Business,B2B Sales,8,31.7,0.05,252.97,94.98,157.99
ORD-10223,2024-09-05,Keyboard,Technology,Central,Small Business,B2B Sales,1,77.43,0,91.37,37.95,53.42
ORD-10224,2025-11-20,Office Chair,Furniture,Central,Consumer,Retail Store,2,223.49,0.05,626.33,260.22,366.11
ORD-10225,2024-12-06,Laptop,Technology,East,Small Business,B2B Sales,1,1006.96,0.05,1255.55,618.13,637.42
ORD-10226,2025-09-10,Desk Lamp,Furniture,East,Corporate,Retail Store,1,55.74,0.05,55.6,23.96,31.64
ORD-10227,2025-06-09,Power Bank,Accessories,Central,Small Business,Retail Store,7,57.83,0.05,453.79,183.63,270.16
ORD-10228,2025-07-30,USB-C Hub,Accessories,Central,Consumer,B2B Sales,7,64.32,0,584.41,209.18,375.23
ORD-10229,2025-08-06,Power Bank,Accessories,West,Corporate,Retail Store,7,57.0,0.05,416.95,187.58,229.37
ORD-10230,2025-05-17,File Folder Pack,Office Supplies,North,Consumer,Retail Store,8,19.57,0.15,122.43,75.55,46.88
ORD-10231,2024-03-01,Notebook,Office Supplies,Central,Corporate,Online,5,7.73,0,45.61,14.93,30.68
ORD-10232,2025-04-11,Stapler,Office Supplies,West,Small Business,Retail Store,1,17.29,0.05,18.07,7.85,10.22
ORD-10233,2025-06-26,Drawer Cabinet,Furniture,North,Consumer,Retail Store,1,166.5,0.15,130.2,86.9,43.3
ORD-10234,2024-04-08,Pen Set,Office Supplies,East,Corporate,Online,8,11.84,0.05,94.48,32.2,62.28
